of a good fortune must be in want of a wife. However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered as the rightful property of some one or other of their daughters. “My dear Mr. Bennet,” said his lady to him one day, “have you heard that Netherfield Park is let at last?” Mr. Bennet replied that he had not.	en-us	əvə ɡˈʊd fˈɔːɹtʃʊn mˈʌst biː ɪn wˈɔnt əvə wˈaɪf. haʊˈɛvɚ lˈɪɾəl nˈoʊn ðə fˈiːlɪŋz ɔːɹ vjˈuːz ʌv sˈʌtʃ ɐ mˈæn mˈeɪ biː ˌɔn hɪz fˈɜːst ˈɛntɚɹɪŋ ɐ nˈeɪbɚhˌʊd, ðɪs tɹˈuːθ ɪz sˌoʊ wˈɛl fˈɪkst ɪnðə mˈaɪndz ʌvðə sɚɹˈaʊndɪŋ fˈæmɪliz, ðæt hiː ɪz kənsˈɪdɚd æz ðə ɹˈaɪtfəl pɹˈɑːpɚɾi ʌv sˈʌmwʌn ɔːɹ ˈʌðɚɹ ʌv ðɛɹ dˈɔːɾɚz. “maɪ dˈɪɹ mˈɪstɚ. bˈɛnɪt,” sˈɛd hɪz lˈeɪdi tə hˌɪm wˈʌn dˈeɪ, “hæv juː hˈɜːd ðæt nˈɛðɚfˌiːld pˈɑːɹk ɪz lˈɛt æt lˈæst?” mˈɪstɚ. bˈɛnɪt ɹᵻplˈaɪd ðæt hiː hæd nˈɑːt.
“But it is,” returned she; “for Mrs. Long has just been here, and she told me all about it.” Mr. Bennet made no answer. “Do not you want to know who has taken it?” cried his wife, impatiently. “_You_ want to tell me, and I have no objection to hearing it.” [Illustration: “He came down to see the place” [_Copyright 1894 by George Allen._]] This was invitation enough.	en-us	“bˌʌt ɪɾ ˈɪz,” ɹᵻtˈɜːnd ʃiː; “fɔːɹ mˈɪsɪz. lˈɔŋ hɐz dʒˈʌst bˌɪn hˈɪɹ, ænd ʃiː tˈoʊld mˌiː ˈɔːl ɐbˈaʊt ɪt.” mˈɪstɚ. bˈɛnɪt mˌeɪd nˈoʊ ˈænsɚ. “duːnˌɑːt juː wˈɔnt tə nˈoʊ hˌuː hɐz tˈeɪkən ɪt?” kɹˈaɪd hɪz wˈaɪf, ɪmpˈeɪʃəntli. “juː wˈɔnt tə tˈɛl mˌiː, ænd aɪ hæv nˈoʊ ɑːbdʒˈɛkʃən tə hˈɪɹɪŋ ɪt.” [ˌɪləstɹˈeɪʃən: “hiː kˈeɪm dˌaʊn tə sˈiː ðə plˈeɪs” [kˈɑːpɪɹˌaɪt wˈʌn θˈaʊzənd ˈeɪthˈʌndɹɪd nˈaɪnti fˈɔːɹ baɪ dʒˈɔːɹdʒ ˈælən.]] ðɪs wʌz ɪnvɪtˈeɪʃən ɪnˈʌf.
“Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week.” “What is his name?” “Bingley.” “Is he married or single?” “Oh, single, my dear, to be sure! A single man of large fortune; four or five thousand a year. What a fine thing for our girls!” “How so? how can it affect them?” “My dear Mr. Bennet,” replied his wife, “how can you be so tiresome?	en-us	“wˈaɪ, maɪ dˈɪɹ, juː mˈʌst nˈoʊ, mˈɪsɪz. lˈɔŋ sˈɛz ðæt nˈɛðɚfˌiːld ɪz tˈeɪkən baɪ ɐ jˈʌŋ mˈæn ʌv lˈɑːɹdʒ fˈɔːɹtʃʊn fɹʌmðə nˈɔːɹθ ʌv ˈɪŋɡlənd; ðæt hiː kˈeɪm dˌaʊn ˌɔn mˈʌndeɪ ɪn ɐ ʃˈeɪz ænd fˈɔːɹ tə sˈiː ðə plˈeɪs, ænd wʌz sˈoʊ mˌʌtʃ dᵻlˈaɪɾᵻd wɪð ɪt ðæt hiː ɐɡɹˈiːd wɪð mˈɪstɚ. mˈɔːɹɪs ɪmˈiːdɪətli; ðæt hiː ɪz tə tˈeɪk pəzˈɛʃən bᵻfˌɔːɹ mˈaɪkəlməz, ænd sˌʌm ʌv hɪz sˈɜːvənts ɑːɹ təbi ɪnðə hˈaʊs baɪ ðɪ ˈɛnd ʌv nˈɛkst wˈiːk.” “wˌʌt ɪz hɪz nˈeɪm?” “bˈɪŋɡli.” “ɪz hiː mˈæɹid ɔːɹ sˈɪŋɡəl?” “ˈoʊ, sˈɪŋɡəl, maɪ dˈɪɹ, təbi ʃˈʊɹ! ɐ sˈɪŋɡəl mˈæn ʌv lˈɑːɹdʒ fˈɔːɹtʃʊn; fˈɔːɹ ɔːɹ fˈaɪv θˈaʊzənd ɐ jˈɪɹ. wˌʌt ɐ fˈaɪn θˈɪŋ fɔːɹ ˌaʊɚ ɡˈɜːlz!” “hˌaʊ sˈoʊ? hˌaʊ kæn ɪɾ ɐfˈɛkt ðˌɛm?” “maɪ dˈɪɹ mˈɪstɚ. bˈɛnɪt,” ɹᵻplˈaɪd hɪz wˈaɪf, “hˌaʊ kæn juː biː sˌoʊ tˈaɪɚsʌm?
You must know that I am thinking of his marrying one of them.” “Is that his design in settling here?” “Design? Nonsense, how can you talk so! But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.” “I see no occasion for that.	en-us	juː mˈʌst nˈoʊ ðæt aɪɐm θˈɪŋkɪŋ ʌv hɪz mˈæɹiɪŋ wˈʌn ʌv ðˌɛm.” “ɪz ðæt hɪz dɪzˈaɪn ɪn sˈɛɾəlɪŋ hˈɪɹ?” “dɪzˈaɪn? nˈɑːnsəns, hˌaʊ kæn juː tˈɔːk sˈoʊ! bˌʌt ɪɾ ɪz vˈɛɹi lˈaɪkli ðæt hiː mˈeɪ fˈɔːl ɪn lˈʌv wɪð wˈʌn ʌv ðˌɛm, ænd ðˈɛɹfɔːɹ juː mˈʌst vˈɪzɪt hˌɪm æz sˈuːn æz hiː kˈʌmz.” “aɪ sˈiː nˈoʊ əkˈeɪʒən fɔːɹ ðˈæt.
You and the girls may go--or you may send them by themselves, which perhaps will be still better; for as you are as handsome as any of them, Mr. Bingley might like you the best of the party.” “My dear, you flatter me. I certainly _have_ had my share of beauty, but I do not pretend to be anything extraordinary now. When a woman has five grown-up daughters, she ought to give over thinking of her own beauty.” “In such cases, a woman has not often much beauty to think of.” “But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood.” “It is more than I engage for, I assure you.” “But consider your daughters.	en-us	juː ænd ðə ɡˈɜːlz mˈeɪ ɡˌoʊ ɔːɹ juː mˈeɪ sˈɛnd ðˌɛm baɪ ðɛmsˈɛlvz, wˌɪtʃ pɚhˈæps wɪl biː stˈɪl bˈɛɾɚ; fɔːɹ æz juː ɑːɹ æz hˈændsʌm æz ˌɛni ʌv ðˌɛm, mˈɪstɚ. bˈɪŋɡli mˌaɪt lˈaɪk juː ðə bˈɛst ʌvðə pˈɑːɹɾi.” “maɪ dˈɪɹ, juː flˈæɾɚ mˌiː. aɪ sˈɜːʔn̩li hæv hæd maɪ ʃˈɛɹ ʌv bjˈuːɾi, bˌʌt aɪ duːnˌɑːt pɹɪtˈɛnd təbi ˈɛnɪθˌɪŋ ɛkstɹˈɔːɹdɪnˌɛɹi nˈaʊ. wˌɛn ɐ wˈʊmən hɐz fˈaɪv ɡɹˈoʊnˌʌp dˈɔːɾɚz, ʃiː ˈɔːt tə ɡˈɪv ˌoʊvɚ θˈɪŋkɪŋ ʌv hɜːɹ ˈoʊn bjˈuːɾi.” “ɪn sˈʌtʃ kˈeɪsᵻz, ɐ wˈʊmən həznɑːt ˈɔfən mˈʌtʃ bjˈuːɾi tə θˈɪŋk ʌv.” “bˌʌt, maɪ dˈɪɹ, juː mˈʌst ˌɪndˈiːd ɡˌoʊ ænd sˈiː mˈɪstɚ. bˈɪŋɡli wɛn hiː kˈʌmz ˌɪntʊ ðə nˈeɪbɚhˌʊd.” “ɪɾ ɪz mˈɔːɹ ðɐn aɪ ɛŋɡˈeɪdʒ fɔːɹ, aɪ əʃˈʊɹ juː.” “bˌʌt kənsˈɪdɚ jʊɹ dˈɔːɾɚz.
Only think what an establishment it would be for one of them. Sir William and Lady Lucas are determined to go, merely on that account; for in general, you know, they visit no new comers. Indeed you must go, for it will be impossible for _us_ to visit him, if you do not.” “You are over scrupulous, surely.	en-us	ˈoʊnli θˈɪŋk wʌt ɐn ɪstˈæblɪʃmənt ɪt wʊd biː fɔːɹ wˈʌn ʌv ðˌɛm. sˌɜː wˈɪljəm ænd lˈeɪdi lˈuːkəz ɑːɹ dɪtˈɜːmɪnd tə ɡˈoʊ, mˈɪɹli ˌɔn ðæt ɐkˈaʊnt; fɔːɹ ɪn dʒˈɛnɚɹəl, juː nˈoʊ, ðeɪ vˈɪzɪt nˈoʊ nˈuː kˈʌmɚz. ˌɪndˈiːd juː mˈʌst ɡˈoʊ, fɔːɹ ɪt wɪl biː ɪmpˈɑːsᵻbəl fɔːɹ ˌʌs tə vˈɪzɪt hˌɪm, ɪf juː duːnˈɑːt.” “juː ɑːɹ ˌoʊvɚ skɹˈuːpjʊləs, ʃˈʊɹli.
I dare say Mr. Bingley will be very glad to see you; and I will send a few lines by you to assure him of my hearty consent to his marrying whichever he chooses of the girls--though I must throw in a good word for my little Lizzy.” “I desire you will do no such thing. Lizzy is not a bit better than the others: and I am sure she is not half so handsome as Jane, nor half so good-humoured as Lydia. But you are always giving _her_ the preference.” “They have none of them much to recommend them,” replied he: “they are all silly and ignorant like other girls; but Lizzy has something more of quickness than her sisters.” “Mr. Bennet, how can you abuse your own children in such a way?	en-us	aɪ dˈɛɹ sˈeɪ mˈɪstɚ. bˈɪŋɡli wɪl biː vˈɛɹi ɡlˈæd tə sˈiː juː; ænd aɪ wɪl sˈɛnd ɐ fjˈuː lˈaɪnz baɪ juː tʊ əʃˈʊɹ hˌɪm ʌv maɪ hˈɑːɹɾi kənsˈɛnt tə hɪz mˈæɹiɪŋ wɪtʃˈɛvɚ hiː tʃˈuːzᵻz ʌvðə ɡˈɜːlz ðˌoʊ aɪ mˈʌst θɹˈoʊ ɪn ɐ ɡˈʊd wˈɜːd fɔːɹ maɪ lˈɪɾəl lˈɪzi.” “aɪ dɪzˈaɪɚ juː wɪl dˈuː nˈoʊ sˈʌtʃ θˈɪŋ. lˈɪzi ɪz nˌɑːɾə bˈɪt bˈɛɾɚ ðɐn ðɪ ˈʌðɚz: ænd aɪɐm ʃˈʊɹ ʃiː ɪz nˌɑːt hˈæf sˌoʊ hˈændsʌm æz dʒˈeɪn, nˈɔːɹ hˈæf sˌoʊ ɡˈʊdhjˈuːmɚd æz lˈɪdiə. bˌʌt juː ɑːɹ ˈɔːlweɪz ɡˈɪvɪŋ hɜː ðə pɹˈɛfɹəns.” “ðeɪ hæv nˈʌn ʌv ðˌɛm mˈʌtʃ tə ɹˌɛkəmˈɛnd ðˌɛm,” ɹᵻplˈaɪd hiː: “ðeɪ ɑːɹ ˈɔːl sˈɪli ænd ˈɪɡnɚɹənt lˈaɪk ˈʌðɚ ɡˈɜːlz; bˌʌt lˈɪzi hɐz sˈʌmθɪŋ mˈɔːɹ ʌv kwˈɪknəs ðɐn hɜː sˈɪstɚz.” “mˈɪstɚ. bˈɛnɪt, hˌaʊ kæn juː ɐbjˈuːz jʊɹ ˈoʊn tʃˈɪldɹən ɪn sˈʌtʃ ɐ wˈeɪ?
You take delight in vexing me. You have no compassion on my poor nerves.” “You mistake me, my dear. I have a high respect for your nerves.	en-us	juː tˈeɪk dᵻlˈaɪt ɪn vˈɛksɪŋ mˌiː. juː hæv nˈoʊ kəmpˈæʃən ˌɔn maɪ pˈʊɹ nˈɜːvz.” “juː mɪstˈeɪk mˌiː, maɪ dˈɪɹ. aɪ hæv ɐ hˈaɪ ɹᵻspˈɛkt fɔːɹ jʊɹ nˈɜːvz.
trem da Central um rapaz aqui do bairro, que eu conheço de vista e de chapéo. Comprimentou-me, sentou-se ao pé de mim, falou da lua e dos ministros, e acabou recitando-me versos. A viagem era curta, e os versos póde ser que não fossem inteiramente maus.	pt-br	trˈeɪŋ da seɪŋtrˈaʊ ũŋ xapˈaz akˈi dʊ bˈaɪxʊ, ky eʊ kˌoɲˈesʊ dʒy vˈistæ i dʒy ʃˌapˈɛʊ. kˌomprimeɪŋtˈowmy, seɪŋtˈowsj aʊ pˈɛ dʒy mˈiŋ, falˈow da lˈuæ i dʊz mˌinˈistrʊs, i ˌakabˈow xˌesitˈɐ̃ŋdʊmy vˈɛɾəsʊs. a vˌiˈaʒeɪŋ ˌɛɾæ kˈuɾətæ, i ʊz vˈɛɾəsʊs pˈɔdʒy ser ky nˌɐ̃ʊ̃ fˈoseɪŋ ˌiŋteɪɾæmˈeɪŋtʃy mˈaʊs.
Succedeu, porém, que como eu estava cançado, fechei os olhos tres ou quatro vezes; tanto bastou para que elle interrompesse a leitura e mettesse os versos no bolso. --Continue, disse eu accordando. --Já acabei, murmurou elle. --São muito bonitos. Vi-lhe fazer um gesto para tiral-os outra vez do bolso, mas não passou do gesto; estava amuado. No dia seguinte entrou a dizer de mim nomes feios, e acabou alcunhando-me _Dom Casmurro._ Os visinhos, que não gostam dos meus habitos reclusos e calados, deram curso á alcunha, que afinal pegou.	pt-br	sˌuksedˈeʊ, poɾˈeɪŋ, ky kˌomʊ eʊ estˌavæ kˌɐ̃ŋsˈadʊ, feʃˈeɪ ʊz ˈɔljʊs trˈyz ow kwˈatrʊ vˈezys; tˈɐ̃ŋtʊ bastˈow pˌaɾækj ˈɛli ˌiŋtexompˈesj a lˌeɪtˈuɾæ i mˌetˈɛsj ʊz vˈɛɾəsʊz nʊ bˈowsʊ. kˌoŋtʃinˈuy, dʒˈisj eʊ ˌakkoɾədˈɐ̃ŋdʊ. ʒˈa ˌakabˈeɪ, mˌuɾəmuɾˈow ˈɛly. sɐ̃ʊ̃ mwˈiŋtʊ bˌonˈitʊs. vˈiʎˈy fazˌeɾ ũŋ ʒˈɛstʊ pˌaɾæ tʃiɾˈaʊʊz ˈowtræ vˈez dʊ bˈowsʊ, maz nˌɐ̃ʊ̃ pasˈow dʊ ʒˈɛstʊ; estˌavæ ˌæmuˈadʊ. nʊ dʒˈiæ sˌeɡˈiŋtʃj eɪŋtrˈow a dʒizˈer dʒy mˈiŋ nˈomys fˈeɪʊs, i ˌakabˈow ˌaʊkũɲˈɐ̃ŋdʊmy dˈoŋ kˌazmˈuxʊ.ʊz vˌizˈiɲʊs, ky nˌɐ̃ʊ̃ ɡˈɔstɐ̃ʊ̃ dʊz meʊs ˌabˈitʊz xˌeklˈuzʊz i kˌalˈadʊs, dˈɛɾɐ̃ʊ̃ kˈuɾəsw ˈa ˌaʊkˈũɲæ, ky ˌafinˈaʊ peɡˈow.
