0001	en-us	name	Dr. Anaïs Moreau and Mr. João da Silva met in São Paulo last spring.	dˈɑːktɚ. ˈænɐˌiːz mˈɔːɹaʊ ænd mˈɪstɚ. dʒˈoʊoʊ dˈɑː sˈɪlvə mˈɛt ɪn sˈaʊ pˈɔːloʊ lˈæst spɹˈɪŋ. 
0002	en-us	name	Colonel Sanders, Queen Elizabeth II, and Saint Teresa all used titles.	kˈɜːnəl sˈændɚz, kwˈiːn ᵻlˈɪzəbəθ ɹˌoʊmən tˈuː, ænd sˈeɪnt tɚɹˈiːsə ˈɔːl jˈuːzd tˈaɪɾəlz. 
0003	en-us	name	O'Brien, García-Márquez, and Ngozi discussed the merger over coffee.	oʊbɹˈaɪən, ɡˈɑːɹʃəmˈɑːɹkɛz, ænd əŋɡˈoʊzi dɪskˈʌst ðə mˈɜːdʒɚɹ ˌoʊvɚ kˈɔfi. 
0004	en-us	honorific	Ms. Dalloway, Dr. Watson, and Prof. Higgins arrived at noon.	mˈɪz dˈæləwˌeɪ, dˈɑːktɚ. wˈɑːtsən, ænd pɹˈɑːf. hˈɪɡɪnz ɚɹˈaɪvd æt nˈuːn. 
0005	en-us	honorific	Mrs. Danvers, Mr. Bean, and Sgt. Pepper asked for directions.	mˈɪsɪz. dˈænvɚz, mˈɪstɚ. bˈiːn, ænd ˌɛsdʒˌiːtˈiː. pˈɛpɚɹ ˈæskt fɔːɹ dᵻɹˈɛkʃənz. 
0006	en-us	honorific	Rev. King, Capt. Ahab, and Gen. Lee signed the letter.	ɹˈɛv. kˈɪŋ, kˈæpt. ˈeɪhæb, ænd dʒˈɛn. lˈiː sˈaɪnd ðə lˈɛɾɚ. 
0007	en-us	abbreviation	She read e.g. the first chapter, i.e. page 5, and noted the etc.	ʃiː ɹˈiːd ˈiː.dʒˈiː. ðə fˈɜːst tʃˈæptɚ, ˈaɪ.ˈiː. pˈeɪdʒ fˈaɪv, ænd nˈoʊɾᵻd ðɪ ɛtsˈɛtɹə. 
0008	en-us	abbreviation	The U.S. and U.K. delegations met at approx. 8 a.m. ET.	ðə jˈuː.ˈɛs. ænd jˈuː.kˈeɪ. dˌɛlɪɡˈeɪʃənz mˈɛt æɾ ɐpɹˈɑːks. ˈeɪt ˈeɪ.ˈɛm. ˈɛt. 
0009	en-us	abbreviation	Cf. appendix B: the fig. shows vol. 2, no. 3.	sˌiːˈɛf. ɐpˈɛndɪks bˈiː: ðə fˈɪɡ. ʃˈoʊz vˈɑːl. tˈuː, nˈoʊ. θɹˈiː. 
0010	en-us	number	There were 1,204,567 people; 3.14159 is pi; and 0.5% is half.	ðɛɹwˌɜː wˈʌn mˈɪliən tˈuːhˈʌndɹɪd fˈɔːɹ θˈaʊzənd fˈaɪvhˈʌndɹɪd sˈɪksti sˈɛvən pˈiːpəl; θɹˈiː pɔɪnt wˈʌn fˈɔːɹ wˈʌn fˈaɪv nˈaɪn ɪz pˈaɪ; ænd zˈiəɹoʊ.  fˈaɪv pɚsˈɛnt ɪz hˈæf 
0011	en-us	number	Temperatures hit -40 degrees, then rose 15.5 degrees by 9:45.	tˈɛmpɹɪtʃɚz hˈɪt mˈaɪnəs fˈɔːɹɾi dᵻɡɹˈiːz, ðˈɛn ɹˈoʊz fˈɪftiːn pɔɪnt fˈaɪv dᵻɡɹˈiːz baɪ nˈaɪn:fˈɔːɹɾi fˈaɪv. 
0012	en-us	number	The odds were 3 to 1, the answer 42, and 007 is Bond's number.	ðɪ ˈɑːdz wɜː θɹˈiː tə wˈʌn, ðɪ ˈænsɚ fˈɔːɹɾi tˈuː, ænd zˈiəɹoʊzˈiəɹoʊ sˈɛvən ɪz bˈɑːndz nˈʌmbɚ. 
0013	en-us	date	On 3/4/2024, or March 4th 2024, they met; it was the 21st of May.	ˌɔn θɹˈiː slˈæʃ fˈɔːɹ slˈæʃ tˈuː θˈaʊzənd twˈɛnti fˈɔːɹ, ɔːɹ mˈɑːɹtʃ fˈɔːɹθ tˈuː θˈaʊzənd twˈɛnti fˈɔːɹ, ðeɪ mˈɛt; ɪt wʌzðə twˈɛnti fˈɜːst ʌv mˈeɪ. 
0014	en-us	date	By Dec. 25, 1999, the 2nd ed. was due; it shipped 06/07/2000.	baɪ dˈɛk. twˈɛnti fˈaɪv, nˈaɪntiːnhˈʌndɹɪd nˈaɪnti nˈaɪn, ðə sˈɛkənd ˈɛd. wʌz dˈuː; ɪt ʃˈɪpt zˈiəɹoʊ sˈɪks slˈæʃ zˈiəɹoʊ sˈɛvən slˈæʃ tˈuː θˈaʊzənd. 
0015	en-us	date	The 1800s, the '90s, and 2024 C.E. all appear in the timeline.	ðə wˈʌn θˈaʊzənd ˈeɪthˈʌndɹɪd z, ðə nˈaɪnti z, ænd tˈuː θˈaʊzənd twˈɛnti fˈɔːɹ sˈiː.ˈiː. ˈɔːl ɐpˈɪɹ ɪnðə tˈaɪmlaɪn. 
0016	en-us	currency	It cost $1,234.56, or €99.95, or £50.	ɪt kˈɔst dˈɑːlɚ wˈʌn θˈaʊzənd tˈuːhˈʌndɹɪd θˈɜːɾi fˈɔːɹ pɔɪnt fˈaɪv sˈɪks, ɔːɹ jˈʊɹɹoʊz nˈaɪnti nˈaɪn pɔɪnt nˈaɪn fˈaɪv, ɔːɹ pˈaʊnd fˈɪfti. 
0017	en-us	currency	Prices rose from ¥10,000 to ¥12,500, and ₹750 became ₹900.	pɹˈaɪsᵻz ɹˈoʊz fɹʌm jˈɛn tˈɛn θˈaʊzənd tə jˈɛn twˈɛlv θˈaʊzənd fˈaɪvhˈʌndɹɪd, ænd ɹˈuːpiː sˈɛvənhˈʌndɹɪd fˈɪfti bɪkˌeɪm ɹˈuːpiː nˈaɪnhˈʌndɹɪd. 
0018	en-us	currency	He tipped 15% on a $45.00 bill and saved 20¢.	hiː tˈɪpt fˈɪftiːn pɚsˈɛnt ˌɔn ɐ dˈɑːlɚ fˈɔːɹɾi fˈaɪv.  zˈiəɹoʊ zˈiəɹoʊ bˈɪl ænd sˈeɪvd twˈɛnti sˈɛnts 
0019	en-us	measurement	The room was 12 ft by 8 m; it weighed 2.5 kg and held 3 L.	ðə ɹˈuːm wʌz twˈɛlv ˌɛftˈiː baɪ ˈeɪt ˈɛm; ɪt wˈeɪd tˈuː.  fˈaɪv kˌeɪdʒˈiː ænd hˈɛld θɹˈiː ˈɛl 
0020	en-us	measurement	Drive 5 mi north, then 300 m east; the parcel weighs 1 lb 4 oz.	dɹˈaɪv fˈaɪv mˈaɪ nˈɔːɹθ, ðˈɛn θɹˈiːhˈʌndɹɪd ˈɛm ˈiːst; ðə pˈɑːɹsəl wˈeɪz wˈʌn ˌɛlbˈiː fˈɔːɹ ˈɑːz. 
